Rack Number,Rack Number_photo,Label1,Label1_photo,Label2,Label2_photo,Timestamp
CH08,rack_photo_1769412923390.jpg,RH02379,label1_photo_1769412935397.jpg,123,,01/26/2026 15:35
CH08,rack_photo_1769413811615.jpg,RH20260[2],label1_photo_1769413826718.jpg,RH20260121,label2_photo_1769413832449.jpg,01/26/2026 15:50
