Rack Number,Label1,Label1_photo,Label2,Label2_photo,Timestamp
"BH09","rack_photo_1769050100914.jpg","RH20260121","label1_photo_1769050087733.jpg","ABCD1234","label2_photo_1769050109996.jpg","01/22/2026 10:48"
