Rack,Rack_photo,Test item 1,Test item 1_photo,Timestamp
"BH09","rack_photo_1769152784973.jpg","A326892376542689201","label1_photo_1769152823835.jpg","01/23/2026 15:20"
"CH08","rack_photo_1769152867314.jpg","a","","01/23/2026 15:21"
